"phi","dens","study","distribution"
0.133133133133133,1.34579357025998e-05,"study_0","Beta"
0.134134134134134,9.20495477923407e-06,"study_0","Beta"
0.135135135135135,6.27544089693481e-06,"study_0","Beta"
0.136136136136136,4.26443093639436e-06,"study_0","Beta"
0.137137137137137,2.88859542529422e-06,"study_0","Beta"
0.138138138138138,1.95045233739854e-06,"study_0","Beta"
0.139139139139139,1.31286727351136e-06,"study_0","Beta"
0.14014014014014,8.80961055565418e-07,"study_0","Beta"
0.141141141141141,5.89326871169132e-07,"study_0","Beta"
0.142142142142142,3.93036027424186e-07,"study_0","Beta"
0.143143143143143,2.61335078469237e-07,"study_0","Beta"
0.144144144144144,1.73246569243078e-07,"study_0","Beta"
0.145145145145145,1.14510483722443e-07,"study_0","Beta"
0.146146146146146,7.54660013861981e-08,"study_0","Beta"
0.147147147147147,4.95900405633276e-08,"study_0","Beta"
0.148148148148148,3.24927087068065e-08,"study_0","Beta"
0.149149149149149,2.12293524161937e-08,"study_0","Beta"
0.15015015015015,1.38311329548653e-08,"study_0","Beta"
0.151151151151151,8.98585723558781e-09,"study_0","Beta"
0.152152152152152,5.82173402966178e-09,"study_0","Beta"
0.153153153153153,3.76137306084737e-09,"study_0","Beta"
0.154154154154154,2.42354763244969e-09,"study_0","Beta"
0.155155155155155,1.55731868904482e-09,"study_0","Beta"
0.156156156156156,9.98007247302649e-10,"study_0","Beta"
0.157157157157157,6.37865972042029e-10,"study_0","Beta"
0.158158158158158,4.06606010151461e-10,"study_0","Beta"
0.159159159159159,2.58508995406634e-10,"study_0","Beta"
0.16016016016016,1.63924449376163e-10,"study_0","Beta"
0.161161161161161,1.03677981235675e-10,"study_0","Beta"
0.162162162162162,6.54052177084306e-11,"study_0","Beta"
0.163163163163163,4.11556522737375e-11,"study_0","Beta"
0.164164164164164,2.58312729744434e-11,"study_0","Beta"
0.165165165165165,1.6172203026342e-11,"study_0","Beta"
0.166166166166166,1.00996723640878e-11,"study_0","Beta"
0.167167167167167,6.29169441351157e-12,"study_0","Beta"
0.168168168168168,3.90982705273175e-12,"study_0","Beta"
0.169169169169169,2.42373017498937e-12,"study_0","Beta"
0.17017017017017,1.49883852166005e-12,"study_0","Beta"
0.171171171171171,9.2464748135876e-13,"study_0","Beta"
0.172172172172172,5.69056092045838e-13,"study_0","Beta"
0.173173173173173,3.49380080245739e-13,"study_0","Beta"
0.174174174174174,2.13999068007677e-13,"study_0","Beta"
0.175175175175175,1.30768358468418e-13,"study_0","Beta"
0.176176176176176,7.97217368809214e-14,"study_0","Beta"
0.177177177177177,4.84886661360463e-14,"study_0","Beta"
0.178178178178178,2.94238244497408e-14,"study_0","Beta"
0.179179179179179,1.78139108510158e-14,"study_0","Beta"
0.18018018018018,1.07603513756341e-14,"study_0","Beta"
0.181181181181181,6.48494498790879e-15,"study_0","Beta"
0.182182182182182,3.89945874587521e-15,"study_0","Beta"
0.183183183183183,2.33951573701492e-15,"study_0","Beta"
0.184184184184184,1.4004787600964e-15,"study_0","Beta"
0.185185185185185,8.36490859226256e-16,"study_0","Beta"
0.186186186186186,4.98522871849964e-16,"study_0","Beta"
0.187187187187187,2.9645118422391e-16,"study_0","Beta"
0.188188188188188,1.75901847591987e-16,"study_0","Beta"
0.189189189189189,1.04145743069846e-16,"study_0","Beta"
0.19019019019019,6.15277820175921e-17,"study_0","Beta"
