"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
13759.9236803,0.0236691436223578,0.0214536067285456,8703.01407691009,0.5,"fixed","MCMC"
13414.59364665,0.0252954854318497,0.022728312738987,8705.47350238112,0.5,"fixed","MCMC"
13253.1527135645,0.0260088810253126,0.0256854004435014,7706.70500488898,0.5,"fixed","MCMC"
15157.3766294882,0.0181860819559817,0.0174465175257639,8168.08274522731,0.5,"fixed","MCMC"
19887.001389778,0.0085291523913108,0.00736313666297495,8781.46641530178,0.5,"fixed","MCMC"
14971.2038834175,0.0188282220572713,0.0179551677704461,8261.78648779774,0.5,"fixed","MCMC"
13490.9592400852,0.0248555630370597,0.0237978575145958,8096.03032140418,0.5,"fixed","MCMC"
16148.0637241,0.0152829125920076,0.0145632714747908,8187.97603257481,0.5,"fixed","MCMC"
16105.1536973411,0.0156706620140322,0.0141106868342773,9157.18217228045,0.5,"fixed","MCMC"
12923.6197414907,0.0278371503879937,0.0252351564014301,8515.0776636791,0.5,"fixed","MCMC"
11438.4590978415,0.0377249432912331,0.0338067642134243,8199.83279063203,0.5,"fixed","MCMC"
13706.5366484818,0.0237690484537504,0.0238492161540413,7504.62486478985,0.5,"fixed","MCMC"
13846.3012840185,0.0231294452023418,0.023210199153443,7499.31834491813,0.5,"fixed","MCMC"
15485.8578194929,0.0170400822090937,0.0167296689978962,7692.66540644433,0.5,"fixed","MCMC"
14079.1966949161,0.0222533455921816,0.0206532178143208,8521.9784299649,0.5,"fixed","MCMC"
15130.344152062,0.018206669658836,0.0178018235420521,7841.06403110613,0.5,"fixed","MCMC"
14076.15407799,0.022248710550479,0.0208633631392647,8406.63128505833,0.5,"fixed","MCMC"
15235.986547644,0.0181414373703764,0.0162886481622249,9078.64345211936,0.5,"fixed","MCMC"
14126.152454609,0.0220774765971349,0.0202632118344306,8648.59843805424,0.5,"fixed","MCMC"
14471.9568795295,0.0206674609326963,0.0193955597872226,8445.46119614532,0.5,"fixed","MCMC"
15115.5362655053,0.0183275026094486,0.0175642143518879,8185.58428762749,0.5,"fixed","MCMC"
12405.7569173068,0.0308753643708371,0.0284580866914468,8257.40317799451,0.5,"fixed","MCMC"
13568.1685224572,0.0245115533794709,0.0229690217673717,8338.90612055526,0.5,"fixed","MCMC"
11660.416061254,0.0360243408875254,0.0294371100442359,8788.40556660969,0.5,"fixed","MCMC"
14527.5640701006,0.0202175323591147,0.0207280554559135,6984.81080268023,0.5,"fixed","MCMC"
12524.9202456864,0.0301433064686741,0.0275444994903964,8355.02720987097,0.5,"fixed","MCMC"
14106.5416910492,0.0221488953619007,0.0204440357363005,8585.40130054793,0.5,"fixed","MCMC"
16564.4491668064,0.0143829297180088,0.0133408396921586,8673.65906601621,0.5,"fixed","MCMC"
16651.9900257133,0.0142085550265945,0.0131030740986313,8776.85993550314,0.5,"fixed","MCMC"
16760.1432013084,0.0136224678795742,0.0130956499729853,7685.49309259497,0.5,"fixed","MCMC"
12511.8717616058,0.0302642869004321,0.0252678342073118,8974.57421585493,0.5,"fixed","MCMC"
11440.0758473445,0.0377215543979057,0.0316174615986287,8579.71297039023,0.5,"fixed","MCMC"
13208.2532501831,0.0263053629302434,0.0242767868429214,8421.98576271303,0.5,"fixed","MCMC"
17773.778321532,0.0118651288090785,0.0108210998117735,8787.63189142051,0.5,"fixed","MCMC"
15150.776481671,0.0180971619633829,0.0178790130621602,7636.14377406152,0.5,"fixed","MCMC"
15141.7393649833,0.0183656820921057,0.0169200525489144,8749.7573788627,0.5,"fixed","MCMC"
12976.2267276414,0.0276001328497794,0.023231069854565,9075.9349987574,0.5,"fixed","MCMC"
14445.9504646796,0.0207989057924736,0.0192210519319047,8624.32594391564,0.5,"fixed","MCMC"
15694.1733315639,0.0167254170422867,0.0152693569801408,8925.93166740564,0.5,"fixed","MCMC"
11464.852222178,0.0375270199763922,0.0310995297505585,8645.93483944831,0.5,"fixed","MCMC"
13001.6414022522,0.0274306360503086,0.0241973034515772,8751.20276895803,0.5,"fixed","MCMC"
11857.6829546705,0.0346087753067822,0.0248688902271454,9417.23394340869,0.5,"fixed","MCMC"
12232.3678323292,0.032005010923232,0.0279404609447143,8605.75235872099,0.5,"fixed","MCMC"
14142.2039911999,0.0218799506464256,0.02156518976915,7766.85822578294,0.5,"fixed","MCMC"
11454.211502368,0.0376102746244073,0.0313493103805085,8613.08473092271,0.5,"fixed","MCMC"
14175.1947809235,0.0218174906442554,0.0207029297829548,8278.69146849594,0.5,"fixed","MCMC"
15781.8975931239,0.0162520072221563,0.0156321828552959,8062.21173062971,0.5,"fixed","MCMC"
14211.562488201,0.0216756090975854,0.0204974462873713,8324.45132518278,0.5,"fixed","MCMC"
16468.6803811877,0.0143883076633367,0.0138123286126752,7909.5902543357,0.5,"fixed","MCMC"
17932.1241116279,0.0119605258029355,0.0103992958699362,9833.2232102917,0.5,"fixed","MCMC"
14898.5159971641,0.0191732199787337,0.017662650226286,8722.54662919257,0.5,"fixed","MCMC"
13925.1462714916,0.0228363803225862,0.0221734562633487,7968.36667149732,0.5,"fixed","MCMC"
15064.9314418188,0.0184529990213515,0.0179108220558313,7977.98198556715,0.5,"fixed","MCMC"
14624.1181214736,0.020185014380733,0.0182313283392137,8906.83903741737,0.5,"fixed","MCMC"
16674.3491737994,0.0137482776919863,0.0133275462428297,7426.00031565401,0.5,"fixed","MCMC"
14892.0371912861,0.0190635869358712,0.0184065652538155,8072.0256052519,0.5,"fixed","MCMC"
13610.6498220965,0.0243388031730036,0.022298763861478,8570.83599048722,0.5,"fixed","MCMC"
14751.3066259572,0.0200120718655415,0.0157673337197581,10129.2954579031,0.5,"fixed","MCMC"
12973.9953767836,0.0275134586777417,0.0265765067450727,7931.03082512499,0.5,"fixed","MCMC"
15262.8458481709,0.0177975043868143,0.017282558619115,7951.86209329512,0.5,"fixed","MCMC"
15867.2236503426,0.0159629567931612,0.0154766199139462,7873.46123824372,0.5,"fixed","MCMC"
14324.2990401619,0.0212519751131712,0.0198168258343305,8504.23193667196,0.5,"fixed","MCMC"
18216.4875908376,0.0106973591227554,0.00984881150217354,7788.59382942789,0.5,"fixed","MCMC"
15350.5777452807,0.0174256267468876,0.0172647964583745,7524.57806273637,0.5,"fixed","MCMC"
13448.2541983881,0.024982076848828,0.0255225811111068,7234.10296291781,0.5,"fixed","MCMC"
12037.7212191691,0.033309042509222,0.0286934624251434,8629.83037619193,0.5,"fixed","MCMC"
