"phi","dens","method","distribution"
0,0,"equal_weights","Beta"
0.001001001001001,2.85410675229484e-192,"equal_weights","Beta"
0.002002002002002,8.83001947497274e-160,"equal_weights","Beta"
0.003003003003003,6.89733598354185e-141,"equal_weights","Beta"
0.004004004004004,1.45890988861803e-127,"equal_weights","Beta"
0.005005005005005,2.74563295144472e-117,"equal_weights","Beta"
0.00600600600600601,6.07437327824125e-109,"equal_weights","Beta"
0.00700700700700701,6.25992370770743e-102,"equal_weights","Beta"
0.00800800800800801,6.83558855467891e-96,"equal_weights","Beta"
0.00900900900900901,1.34384613628246e-90,"equal_weights","Beta"
0.01001001001001,6.83104974491424e-86,"equal_weights","Beta"
0.011011011011011,1.16228341265909e-81,"equal_weights","Beta"
0.012012012012012,8.00958888353254e-78,"equal_weights","Beta"
0.013013013013013,2.58375394934696e-74,"equal_weights","Beta"
0.014014014014014,4.36620257724626e-71,"equal_weights","Beta"
0.015015015015015,4.22579545711536e-68,"equal_weights","Beta"
0.016016016016016,2.51706941899894e-65,"equal_weights","Beta"
0.017017017017017,9.78606916751598e-63,"equal_weights","Beta"
0.018018018018018,2.60739972778574e-60,"equal_weights","Beta"
0.019019019019019,4.9592727749037e-58,"equal_weights","Beta"
0.02002002002002,6.97002984756778e-56,"equal_weights","Beta"
0.021021021021021,7.45514958403317e-54,"equal_weights","Beta"
0.022022022022022,6.22435903751201e-52,"equal_weights","Beta"
0.023023023023023,4.14659494803674e-50,"equal_weights","Beta"
0.024024024024024,2.24683116642078e-48,"equal_weights","Beta"
0.025025025025025,1.00701146824303e-46,"equal_weights","Beta"
0.026026026026026,3.78902174910398e-45,"equal_weights","Beta"
0.027027027027027,1.21272447465511e-43,"equal_weights","Beta"
0.028028028028028,3.34063896151348e-42,"equal_weights","Beta"
0.029029029029029,8.00355998701618e-41,"equal_weights","Beta"
0.03003003003003,1.68350216309893e-39,"equal_weights","Beta"
0.031031031031031,3.13551550797807e-38,"equal_weights","Beta"
0.032032032032032,5.21081429446126e-37,"equal_weights","Beta"
0.033033033033033,7.78093926673167e-36,"equal_weights","Beta"
0.034034034034034,1.05061916550118e-34,"equal_weights","Beta"
0.035035035035035,1.29021677181743e-33,"equal_weights","Beta"
0.036036036036036,1.44873346186918e-32,"equal_weights","Beta"
0.037037037037037,1.49464349202194e-31,"equal_weights","Beta"
0.038038038038038,1.4231662814031e-30,"equal_weights","Beta"
0.039039039039039,1.25584627710965e-29,"equal_weights","Beta"
0.04004004004004,1.03095023685339e-28,"equal_weights","Beta"
0.041041041041041,7.90121767195244e-28,"equal_weights","Beta"
0.042042042042042,5.6719077844026e-27,"equal_weights","Beta"
0.043043043043043,3.8253066348476e-26,"equal_weights","Beta"
0.044044044044044,2.43073232880676e-25,"equal_weights","Beta"
0.045045045045045,1.45911842666223e-24,"equal_weights","Beta"
0.046046046046046,8.29467554495301e-24,"equal_weights","Beta"
0.047047047047047,4.4757660643166e-23,"equal_weights","Beta"
0.048048048048048,2.29738980988841e-22,"equal_weights","Beta"
0.049049049049049,1.12404409652143e-21,"equal_weights","Beta"
0.05005005005005,5.25220736532144e-21,"equal_weights","Beta"
0.0510510510510511,2.34795344388354e-20,"equal_weights","Beta"
0.0520520520520521,1.00591204160112e-19,"equal_weights","Beta"
0.0530530530530531,4.13661662889513e-19,"equal_weights","Beta"
0.0540540540540541,1.63530315892277e-18,"equal_weights","Beta"
0.0550550550550551,6.22351904382033e-18,"equal_weights","Beta"
0.0560560560560561,2.28319041054328e-17,"equal_weights","Beta"
0.0570570570570571,8.0847983307817e-17,"equal_weights","Beta"
0.0580580580580581,2.76656526990507e-16,"equal_weights","Beta"
