"phi","dens","study","distribution"
0.0880880880880881,3.81464437823989,"study_0","Gaussian"
0.0890890890890891,3.03309330374851,"study_0","Gaussian"
0.0900900900900901,2.3863193842744,"study_0","Gaussian"
0.0910910910910911,1.85772939646493,"study_0","Gaussian"
0.0920920920920921,1.43102566627196,"study_0","Gaussian"
0.0930930930930931,1.09074562176665,"study_0","Gaussian"
0.0940940940940941,0.822641508454988,"study_0","Gaussian"
0.0950950950950951,0.613915848989069,"study_0","Gaussian"
0.0960960960960961,0.453333858817188,"study_0","Gaussian"
0.0970970970970971,0.331236780067398,"study_0","Gaussian"
0.0980980980980981,0.239480434202427,"study_0","Gaussian"
0.0990990990990991,0.171321790668462,"study_0","Gaussian"
0.1001001001001,0.121273596892155,"study_0","Gaussian"
0.101101101101101,0.0849436654880969,"study_0","Gaussian"
0.102102102102102,0.0588717332745132,"study_0","Gaussian"
0.103103103103103,0.040373251982459,"study_0","Gaussian"
0.104104104104104,0.0273962883057285,"study_0","Gaussian"
0.105105105105105,0.0183950430639812,"study_0","Gaussian"
0.106106106106106,0.0122214004728318,"study_0","Gaussian"
0.107107107107107,0.00803437738656429,"study_0","Gaussian"
0.108108108108108,0.00522630275936189,"study_0","Gaussian"
0.109109109109109,0.00336393803777558,"study_0","Gaussian"
0.11011011011011,0.00214245888387735,"study_0","Gaussian"
0.111111111111111,0.00135016886831274,"study_0","Gaussian"
0.112112112112112,0.000841927643751087,"study_0","Gaussian"
0.113113113113113,0.000519484428515671,"study_0","Gaussian"
0.114114114114114,0.000317162172831677,"study_0","Gaussian"
0.115115115115115,0.000191602565684858,"study_0","Gaussian"
0.116116116116116,0.000114533449662646,"study_0","Gaussian"
0.117117117117117,6.77445634180814e-05,"study_0","Gaussian"
0.118118118118118,3.96485802463163e-05,"study_0","Gaussian"
0.119119119119119,2.29610591958826e-05,"study_0","Gaussian"
0.12012012012012,1.31573152768902e-05,"study_0","Gaussian"
0.121121121121121,7.46025599087599e-06,"study_0","Gaussian"
0.122122122122122,4.18553775948398e-06,"study_0","Gaussian"
0.123123123123123,2.32359206047916e-06,"study_0","Gaussian"
0.124124124124124,1.27637881995502e-06,"study_0","Gaussian"
0.125125125125125,6.93761794499682e-07,"study_0","Gaussian"
0.126126126126126,3.73123201911339e-07,"study_0","Gaussian"
0.127127127127127,1.98566150819235e-07,"study_0","Gaussian"
0.128128128128128,1.04560888303021e-07,"study_0","Gaussian"
0.129129129129129,5.44809154732648e-08,"study_0","Gaussian"
0.13013013013013,2.80886337043748e-08,"study_0","Gaussian"
0.131131131131131,1.43293970988006e-08,"study_0","Gaussian"
0.132132132132132,7.23329715620527e-09,"study_0","Gaussian"
0.133133133133133,3.61289867197347e-09,"study_0","Gaussian"
0.134134134134134,1.78560889758227e-09,"study_0","Gaussian"
0.135135135135135,8.73228671187984e-10,"study_0","Gaussian"
0.136136136136136,4.22552540889054e-10,"study_0","Gaussian"
0.137137137137137,2.02322663583252e-10,"study_0","Gaussian"
0.138138138138138,9.58560294507539e-11,"study_0","Gaussian"
0.139139139139139,4.49371394245803e-11,"study_0","Gaussian"
0.14014014014014,2.08450286192019e-11,"study_0","Gaussian"
