"phi","dens","method","distribution"
0,3.53486703276826e-22,"equal_weights","Gaussian"
0.001001001001001,8.38945481183871e-22,"equal_weights","Gaussian"
0.002002002002002,1.97698444252552e-21,"equal_weights","Gaussian"
0.003003003003003,4.62574427312753e-21,"equal_weights","Gaussian"
0.004004004004004,1.07465445501027e-20,"equal_weights","Gaussian"
0.005005005005005,2.4789337624306e-20,"equal_weights","Gaussian"
0.00600600600600601,5.67766621406227e-20,"equal_weights","Gaussian"
0.00700700700700701,1.29117065521432e-19,"equal_weights","Gaussian"
0.00800800800800801,2.91545466611602e-19,"equal_weights","Gaussian"
0.00900900900900901,6.53638754570568e-19,"equal_weights","Gaussian"
0.01001001001001,1.45505078108157e-18,"equal_weights","Gaussian"
0.011011011011011,3.21608384482972e-18,"equal_weights","Gaussian"
0.012012012012012,7.05806136716507e-18,"equal_weights","Gaussian"
0.013013013013013,1.53798589716892e-17,"equal_weights","Gaussian"
0.014014014014014,3.32757713716298e-17,"equal_weights","Gaussian"
0.015015015015015,7.14846451697331e-17,"equal_weights","Gaussian"
0.016016016016016,1.5247767296704e-16,"equal_weights","Gaussian"
0.017017017017017,3.22930154563007e-16,"equal_weights","Gaussian"
0.018018018018018,6.79078219079104e-16,"equal_weights","Gaussian"
0.019019019019019,1.41788124228694e-15,"equal_weights","Gaussian"
0.02002002002002,2.93946821650278e-15,"equal_weights","Gaussian"
0.021021021021021,6.05071274865384e-15,"equal_weights","Gaussian"
0.022022022022022,1.23666810015509e-14,"equal_weights","Gaussian"
0.023023023023023,2.50962386958263e-14,"equal_weights","Gaussian"
0.024024024024024,5.05676731187778e-14,"equal_weights","Gaussian"
0.025025025025025,1.01168697575872e-13,"equal_weights","Gaussian"
0.026026026026026,2.00968598366921e-13,"equal_weights","Gaussian"
0.027027027027027,3.96386726938451e-13,"equal_weights","Gaussian"
0.028028028028028,7.76280825849421e-13,"equal_weights","Gaussian"
0.029029029029029,1.50948037227522e-12,"equal_weights","Gaussian"
0.03003003003003,2.91437167183856e-12,"equal_weights","Gaussian"
0.031031031031031,5.58690464296362e-12,"equal_weights","Gaussian"
0.032032032032032,1.06342394847028e-11,"equal_weights","Gaussian"
0.033033033033033,2.00978902136763e-11,"equal_weights","Gaussian"
0.034034034034034,3.77140661158166e-11,"equal_weights","Gaussian"
0.035035035035035,7.02692150365189e-11,"equal_weights","Gaussian"
0.036036036036036,1.29997709919143e-10,"equal_weights","Gaussian"
